,player,team_id,cluster
0,Alex Abrines,OKC,3
1,Jaylen Adams,ATL,3
2,Steven Adams,OKC,0
3,Bam Adebayo,MIA,1
4,LaMarcus Aldridge,SAS,0
5,Grayson Allen,UTA,3
6,Jarrett Allen,BRK,0
7,Kadeem Allen,NYK,3
8,Al-Farouq Aminu,POR,6
9,Justin Anderson,ATL,3
10,Kyle Anderson,MEM,2
11,Giannis Antetokounmpo,MIL,4
12,Carmelo Anthony,HOU,3
13,OG Anunoby,TOR,5
14,Ryan Arcidiacono,CHI,7
15,D.J. Augustin,ORL,6
16,Deandre Ayton,PHO,0
17,Dwayne Bacon,CHO,3
18,Marvin Bagley,SAC,1
19,Lonzo Ball,LAL,2
20,Mo Bamba,ORL,1
21,J.J. Barea,DAL,3
22,Will Barton,DEN,2
23,Keita Bates-Diop,MIN,3
24,Nicolas Batum,CHO,6
25,Jerryd Bayless,MIN,3
26,Aron Baynes,BOS,1
27,Kent Bazemore,ATL,7
28,Bradley Beal,WAS,4
29,Malik Beasley,DEN,5
30,Michael Beasley,LAL,3
31,Marco Belinelli,SAS,5
32,Jordan Bell,GSW,1
33,DeAndre' Bembry,ATL,5
34,Dragan Bender,PHO,2
35,Davis Bertans,SAS,5
36,Patrick Beverley,LAC,7
37,Khem Birch,ORL,1
38,Bismack Biyombo,CHO,1
39,Nemanja Bjelica,SAC,6
40,Antonio Blakeney,CHI,5
41,Eric Bledsoe,MIL,6
42,Jaron Blossomgame,CLE,3
43,Bogdan Bogdanovic,SAC,5
44,Bojan Bogdanovic,IND,6
45,Jonah Bolden,PHI,3
46,Devin Booker,PHO,4
47,Mikal Bridges,PHO,7
48,Miles Bridges,CHO,5
49,Isaiah Briscoe,ORL,3
50,Ryan Broekhoff,DAL,3
51,Malcolm Brogdon,MIL,6
52,Dillon Brooks,MEM,3
53,MarShon Brooks,MEM,3
54,Bruce Brown,DET,7
55,Jaylen Brown,BOS,5
56,Lorenzo Brown,TOR,3
57,Sterling Brown,MIL,5
58,Troy Brown,WAS,3
59,Jalen Brunson,DAL,7
60,Thomas Bryant,WAS,0
61,Deonte Burton,OKC,3
62,Bruno Caboclo,MEM,3
63,Jose Calderon,DET,3
64,Kentavious Caldwell-Pope,LAL,5
65,Clint Capela,HOU,0
66,DeMarre Carroll,BRK,5
67,Jevon Carter,MEM,3
68,Vince Carter,ATL,5
69,Wendell Carter,CHI,2
70,Alex Caruso,LAL,3
71,Omri Casspi,MEM,3
72,Willie Cauley-Stein,SAC,0
73,Gary Clark,HOU,3
74,Ian Clark,NOP,5
75,Jordan Clarkson,CLE,5
76,John Collins,ATL,0
77,Zach Collins,POR,5
78,Darren Collison,IND,6
79,Mike Conley,MEM,4
80,Pat Connaughton,MIL,5
81,Quinn Cook,GSW,5
82,DeMarcus Cousins,GSW,2
83,Allen Crabbe,BRK,3
84,Torrey Craig,DEN,7
85,Jamal Crawford,PHO,5
86,Jae Crowder,UTA,5
87,Dante Cunningham,SAS,1
88,Seth Curry,POR,5
89,Stephen Curry,GSW,4
90,Troy Daniels,PHO,3
91,Anthony Davis,NOP,0
92,Ed Davis,BRK,1
93,Dewayne Dedmon,ATL,7
94,Luol Deng,MIN,3
95,DeMar DeRozan,SAS,4
96,Cheick Diallo,NOP,1
97,Hamidou Diallo,OKC,3
98,Gorgui Dieng,MIN,1
99,Spencer Dinwiddie,BRK,5
100,Donte DiVincenzo,MIL,3
101,Luka Doncic,DAL,4
102,Damyean Dotson,NYK,7
103,Goran Dragic,MIA,2
104,Andre Drummond,DET,0
105,Jared Dudley,BRK,5
106,Kris Dunn,CHI,2
107,Kevin Durant,GSW,4
108,Joel Embiid,PHI,0
109,Jacob Evans,GSW,3
110,Tyreke Evans,IND,5
111,Dante Exum,UTA,3
112,Derrick Favors,UTA,0
113,Cristiano Felicio,CHI,1
114,Raymond Felton,OKC,3
115,Terrance Ferguson,OKC,6
116,Yogi Ferrell,SAC,5
117,Dorian Finney-Smith,DAL,5
118,Bryn Forbes,SAS,6
119,Evan Fournier,ORL,6
120,De'Aaron Fox,SAC,4
121,Channing Frye,CLE,3
122,Markelle Fultz,PHI,3
123,Danilo Gallinari,LAC,6
124,Langston Galloway,DET,5
125,Rudy Gay,SAS,7
126,Paul George,OKC,4
127,Taj Gibson,MIN,0
128,Harry Giles,SAC,1
129,Shai Gilgeous-Alexander,LAC,6
130,Rudy Gobert,UTA,0
131,Aaron Gordon,ORL,6
132,Eric Gordon,HOU,7
133,Marcin Gortat,LAC,2
134,Devonte' Graham,CHO,3
135,Treveon Graham,BRK,3
136,Jerami Grant,OKC,6
137,Jerian Grant,ORL,5
138,Danny Green,TOR,6
139,Draymond Green,GSW,7
140,Gerald Green,HOU,5
141,Jeff Green,WAS,7
142,Blake Griffin,DET,4
143,Daniel Hamilton,ATL,3
144,James Harden,HOU,4
145,Maurice Harkless,POR,7
146,Montrezl Harrell,LAC,1
147,Devin Harris,DAL,5
148,Gary Harris,DEN,7
149,Joe Harris,BRK,6
150,Shaquille Harrison,CHI,5
151,Josh Hart,LAL,5
152,Isaiah Hartenstein,HOU,3
153,Gordon Hayward,BOS,5
154,Juan Hernangomez,DEN,5
155,Willy Hernangomez,CHO,1
156,Mario Hezonja,NYK,2
157,Buddy Hield,SAC,6
158,Nene Hilario,HOU,3
159,Solomon Hill,NOP,3
160,Aaron Holiday,IND,3
161,Jrue Holiday,NOP,4
162,Rondae Hollis-Jefferson,BRK,2
163,Richaun Holmes,PHO,1
164,Al Horford,BOS,6
165,Danuel House,HOU,3
166,Dwight Howard,WAS,3
